"Detection Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Environmental Sample Replicate","Environmental Sample Type","Environmental Sample Amount","Assay Type","PCR Technical Replicates","Average Concentration","Technical Replicate Avg. Positive Detections per well","Technical Replicate Avg. Accepted Droplets per well","Detection Status","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3"
"769","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.4599990844727","-94.8600006103516","reported","Accurate","","","2019","8","23","1","Water","3000 Liters","qPCR","3","27.99","","","Detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"770","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.5339546203613","-94.8734512329102","reported","Accurate","","","2019","8","23","1","Water","3000 Liters","qPCR","3","26.60","","","Detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"771","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.5339546203613","-94.8734512329102","reported","Accurate","","","2020","8","13","1","Water","3000 Liters","qPCR","3","25.79","","","Detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"772","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.402717590332","-94.6863708496094","reported","Accurate","","","2020","8","14","1","Water","3000 Liters","qPCR","3","28.35","","","Detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"773","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.402717590332","-94.6863708496094","reported","Accurate","","","2021","7","27","1","Water","3000 Liters","qPCR","3","24.33","","","Detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"774","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.2715454101563","-94.4108963012695","reported","Accurate","","","2021","7","29","1","Water","3000 Liters","qPCR","3","26.00","","","Detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"775","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.4976234436035","-94.5881652832031","reported","Accurate","","","2021","7","28","1","Water","3000 Liters","qPCR","3","","","","Non-detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"776","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.8669013977051","-114.028900146484","reported","Accurate","","","2019","6","17","1","Water","3000 Liters","qPCR","3","","","","Non-detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"777","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.7406005859375","-114.11669921875","reported","Accurate","","","2019","6","17","1","Water","3000 Liters","qPCR","3","","","","Non-detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
"778","5","Mollusks-Bivalves","Dreissenidae","Dreissena polymorpha","zebra mussel","","","","","47.6935005187988","-114.148498535156","reported","Accurate","","","2019","6","10","1","Water","3000 Liters","qPCR","3","","","","Non-detect","42614","Database","2023","Howard, L., and G. Luikart","Zebra mussel eDNA detection data from Montana","Flathead Lake Biological Station, University of Montana","Polson, MT","","","","","","","","","","","","","",""
