"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"1598468","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","[No locality description provided]","42.87356","-79.25933","reported","Accurate","Lake Erie","04260000","2012","6","30","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=599706 target = _blank >MISIN report ID 599706</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1599786","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","[No locality description provided]","42.41757","-82.41653","reported","Accurate","Lake St. Clair","04090002","2012","7","5","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=599704 target = _blank >MISIN report ID 599704</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1598683","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","[No locality description provided]","44.073","-77.57001","reported","Accurate","Lake Ontario","04280002","2012","6","29","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=599711 target = _blank >MISIN report ID 599711</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1601600","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","[No locality description provided]","45.98394","-81.53581","reported","Accurate","Lake Huron","04240002","2012","7","30","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=599705 target = _blank >MISIN report ID 599705</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1604077","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","[No locality description provided]","42.31283","-81.90064","reported","Accurate","Lake Erie","04260000","2015","8","26","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=587612 target = _blank >MISIN report ID 587612</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1563761","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","[No locality description provided]","44.07552","-77.01998","reported","Accurate","Napanee River-Frontal Lake Ontario","04270107","2014","7","31","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=587568 target = _blank >MISIN report ID 587568</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1597349","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","[No locality description provided]","44.86647","-81.33131","reported","Accurate","Lake Huron","04240002","2011","9","1","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=599696 target = _blank >MISIN report ID 599696</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1597291","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","[No locality description provided]","44.7891","-81.08143","reported","Accurate","Lake Huron","04240002","2011","8","30","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=599698 target = _blank >MISIN report ID 599698</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1460519","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Marys River","46.0914","-83.87982","reported","Accurate","Lake Huron","04240002","2017","7","21","established","","Literature","","","Freshwater","31326","Database","2018","Bowen, A.","Invasive Species Catch 2017","U.S. Fish and Wildlife Service","Alpena, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156300","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (eastern), Stelco Wharf Approach buoy ET11","42.7696990967","-80.0768966675","Map derived","Accurate","Lake Erie","04260000","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
