Entity,Code,Year,Nuclear
France,FRA,1965,0.897
France,FRA,1966,1.395
France,FRA,1967,2.076
France,FRA,1968,3.085
France,FRA,1969,3.6
France,FRA,1970,5.711
France,FRA,1971,9.329
France,FRA,1972,14.591
France,FRA,1973,14.751
France,FRA,1974,14.71
France,FRA,1975,18.248
France,FRA,1976,15.778
France,FRA,1977,17.941
France,FRA,1978,30.452
France,FRA,1979,39.96
France,FRA,1980,61.251
France,FRA,1981,105.326
France,FRA,1982,108.919
France,FRA,1983,144.261
France,FRA,1984,191.234
France,FRA,1985,224.1
France,FRA,1986,254.155
France,FRA,1987,265.52
France,FRA,1988,275.521
France,FRA,1989,303.931
France,FRA,1990,314.08
France,FRA,1991,331.34
France,FRA,1992,338.45
France,FRA,1993,368.19
France,FRA,1994,359.98
France,FRA,1995,377.23
France,FRA,1996,397.34
France,FRA,1997,395.48
France,FRA,1998,387.99
France,FRA,1999,394.24
France,FRA,2000,415.16
France,FRA,2001,421.08
France,FRA,2002,436.76
France,FRA,2003,441.07
France,FRA,2004,448.24
France,FRA,2005,451.53
France,FRA,2006,450.19
France,FRA,2007,439.73
France,FRA,2008,439.45
France,FRA,2009,409.74
France,FRA,2010,428.52
France,FRA,2011,442.39
France,FRA,2012,425.41
France,FRA,2013,423.68
France,FRA,2014,436.48
France,FRA,2015,437.43
France,FRA,2016,403.2
France,FRA,2017,398.36
France,FRA,2018,412.94
France,FRA,2019,399.01
France,FRA,2020,353.83
France,FRA,2021,379.36
France,FRA,2022,294.73
France,FRA,2023,338.2
France,FRA,2024,380.45
France,FRA,2025,392.07
Germany,DEU,1965,0.117
Germany,DEU,1966,0.265
Germany,DEU,1967,1.225
Germany,DEU,1968,1.766
Germany,DEU,1969,4.937
Germany,DEU,1970,6.494
Germany,DEU,1971,6.216
Germany,DEU,1972,9.522
Germany,DEU,1973,12.106
Germany,DEU,1974,14.459
Germany,DEU,1975,24.138
Germany,DEU,1976,29.533
Germany,DEU,1977,41.255
Germany,DEU,1978,43.873
Germany,DEU,1979,52.064
Germany,DEU,1980,55.589
Germany,DEU,1981,65.533
Germany,DEU,1982,74.426
Germany,DEU,1983,78.063
Germany,DEU,1984,104.317
Germany,DEU,1985,138.641
Germany,DEU,1986,130.489
Germany,DEU,1987,141.725
Germany,DEU,1988,156.82
Germany,DEU,1989,161.671
Germany,DEU,1990,152.47
Germany,DEU,1991,147.23
Germany,DEU,1992,158.8
Germany,DEU,1993,153.28
Germany,DEU,1994,150.7
